"","G1_1","G2_2","G3_3","G1_4","G2_5","G3_1","G1_2","G2_3","G3_4","G1_5","G2_1","G3_2","G1_3","G2_4","G3_5"
"P02855",1661532.43812312,621925.620281397,1118317.13970361,1198750.19789727,1061879.56682385,736021.248812275,331432.755425477,590766.452668673,1464019.15479463,1212129.284269,375513.957926084,1183625.64449025,1772283.15077512,2432549.4460263,1344527.69168519
"P02856",52688.6126859493,16089.5257532853,36523.2277729791,43884.2597102304,34486.6080261976,13321.7485776431,22836.2493525876,36392.2192519035,35004.7081375733,36914.3488660874,12295.5801532291,32126.5130016926,113616.816005417,227904.417477866,32430.5020085769
"P02857",2802455.77152173,1471106.2820659,1708633.38793371,3278677.69684479,2303542.58866817,1543818.06258732,894704.540076409,1302325.04657556,2853621.90403531,2148859.3332388,729694.73310383,2560317.29252026,3307129.41103743,3820388.75200006,2405281.87648473
"P02858",274032.728032245,102557.503248426,218645.360535873,210661.959460785,286260.441244598,104486.161417691,139672.833280712,164772.922047124,232904.457889346,220521.07469343,60215.8757158615,215390.422476368,410916.980784583,776028.596980336,202153.258016608
"P02859",197101.454940722,49585.1092197577,111620.473664141,142126.948934231,110846.846960164,63949.9711144064,67389.8949562372,90856.038327883,134204.102237675,122621.82782285,34766.5747734876,143876.584675386,298612.616383229,329353.153293532,129676.524472398
"P02860",161676.666377836,42211.5220565537,77604.3700463007,81496.8472845866,101067.198619809,32599.8860278687,54937.6360834238,69337.3854949167,86388.9367732902,105156.056038072,26594.730280323,69530.7317957828,243857.101312242,387184.989601729,67920.5416587722
"P02861",215308.751685247,56944.6511020144,102998.547621316,131463.004267601,172888.330106151,45139.8155087721,88096.3828209729,129176.295619529,199409.151054453,158225.45207968,32973.1055504678,108509.971224062,405721.459709222,705560.099804772,135473.728532236
"P02862",1078297.30119871,282980.732963644,736945.886191366,725187.33434172,716970.466478556,278456.37761816,379736.064873639,553944.242907799,665445.873073609,757418.857505379,173799.813881843,620414.911531003,1543475.99579336,3020334.88177127,668728.37698534
"P02863",227180.560599331,67940.1845498245,162672.096694282,170011.125638919,184417.703727189,68174.9527353819,90898.4724375324,138541.619616739,138954.125411288,147054.420897485,57744.6350519055,177889.128464822,317218.016512915,575116.390343048,137493.835554554
"P02864",690357.971847316,167791.565974858,310270.761087253,400644.014845486,457738.067778084,160120.287089725,371548.283907454,319589.034940177,381897.645906231,425387.996330777,105224.922608622,347723.600403911,985746.909596464,2187117.517847,349709.44204675
"P02865",6717462.62473256,2338761.28464085,4734203.71259184,7242014.16267749,4378002.34827074,4579845.12378396,1254099.30964865,2292737.43973486,5713196.07058921,4438906.80371046,1467202.77613682,7472942.79179141,5012937.47469085,3883197.24184097,5456341.79219495
"P02866",233307.433744482,86055.5074083735,172362.309338129,178252.423458681,194516.731323471,71711.6536907923,85678.0410082975,116439.406640722,177653.808259213,166182.486857119,56589.7992417524,201508.043424366,272101.424523697,750422.473072102,170336.307652787
"P02867",257497.577325657,69073.6889828649,197960.245438891,208626.552157154,173846.607756303,68004.7098216238,81233.0183320901,109946.615283644,212264.209377762,162609.149904377,42148.8208015621,119047.347049417,451315.293774646,625197.118371656,135684.957794577
"P02868",167110.247969207,37640.6701083934,117656.801665743,90591.9693832178,103294.982703338,49447.1396359346,60143.8469821386,82796.9898980471,105665.344739818,134843.413511407,27973.5434704816,92671.6279559754,239321.837326369,456062.599315441,93191.84728602
"P02869",105832.328077248,131914.895482165,253417.60181577,93142.6212776852,328390.215159863,167619.607328717,28008.9424164127,235449.104699143,444630.749529608,59012.5989617892,81982.9136585667,242182.999689798,123486.664066167,714717.665227193,262113.133692506
"P02870",1305579.06553018,456600.393206841,908469.419388821,1201495.04177125,826017.017383914,595120.066565698,277912.311543911,490247.441446286,812886.476311587,909708.67360847,213009.488198001,1066074.49327413,1452758.05056872,1262560.55771105,757928.106167943
"P02871",52671712.5598558,21889545.6162003,35368466.6025559,49531924.0988413,51632123.8966942,26368600.0439747,11556658.1704181,24355232.0854079,47540711.3011082,29942431.3550822,12266594.9809622,52415259.1506164,63356965.3061602,54374693.2859775,43101353.6069834
"P02872",334870.755181935,114691.201482796,241582.478923264,222776.79401554,317071.988429709,65453.9100246665,158332.216642451,322589.632714471,219956.753180678,293239.45569039,58019.9164360771,141610.535702672,706464.740247963,1618147.85184065,218496.260563413
"P02873",135761.969617408,28640.2379908364,113435.478265556,117175.58946813,72975.7181862216,35403.4562283398,56369.5138463787,83846.7026136335,103898.163374599,95282.7326138239,22923.7115655286,76697.8744818885,211316.632700581,318540.991314693,75321.546326906
"P02874",162292.064591744,45396.7693502345,133488.391734902,106703.730900539,102004.684655358,33618.9011553527,95840.516087845,97690.6150776702,93913.699629102,122412.005734951,28765.0656799681,91616.7337011069,399815.005260739,652692.889195185,87044.9617310383
"P02875",837057.463481782,178316.700630465,390563.32681496,485370.096723156,549021.464219228,258738.879672113,286825.827479201,362038.379321707,481069.868011367,479762.460741318,166399.755092234,469337.362981393,801327.820628102,1112048.01040552,504891.448231535
"P02876",215910.995728858,83400.2638072414,153536.441367556,205583.435720179,190629.521237632,87975.9527791722,68908.6129623332,120339.483664872,202802.812011668,201688.902890611,76907.7397347838,157822.53673296,260816.123762875,398116.53737396,208414.957707834
"P02877",1401168.80091973,508357.989224818,607687.94132608,1254300.9100003,1170408.56784413,605160.464189626,224990.472933958,430784.237709368,1293349.46363286,837409.130141296,252394.430903053,1080533.41441137,1393637.29467358,1047549.38070082,1067386.64919758
"P02878",1034730.96963766,328265.538726494,897311.403358451,623503.683732821,611693.108498158,391235.050264785,303888.529918548,441442.698598165,905646.166121561,810862.222844724,177278.11963675,669437.285549317,960115.108816124,1561999.36752663,867487.587777417
"P02879",222187.689032311,98313.9966855486,154670.889964587,217833.798551864,183416.665105297,109707.777046731,52366.2015171556,93147.344608523,196189.562996847,147604.758813142,41363.902787243,212876.124468692,218112.297475517,270268.270046709,204822.311921834
"P02880",163070.705636584,42858.9746509431,128666.683896983,107252.566971802,110706.627862768,34649.6070615832,88003.3012584948,98428.3887279796,108427.651886724,136364.137833134,31495.7740749715,65668.246153304,241287.610926648,678286.087265361,65049.6089818373
"P02881",88181.0982698452,23282.3019608577,71069.6069965311,48973.5851358328,69428.2473555037,11638.8853940197,51576.7214921136,69674.9230561521,74988.2163898477,68120.1691888052,16674.1232633413,51539.7169794253,275061.278611677,663103.988586886,46597.9752827171
"P02882",680252.071574112,185036.933235587,369757.812571269,529961.12706411,461873.321080371,250167.508172464,105301.156332226,241754.706304364,514896.441070435,469487.690819461,104992.683832146,361706.339788735,795424.85307917,916905.49977005,545286.22604472
"P02883",3770567.37664949,1155451.40020715,2203719.64485475,3072296.12994689,3651129.26759442,1718431.16082659,788901.55689496,1482856.84667845,3471765.11317245,1842276.04340596,794392.093048491,2775380.98039762,4426196.76521762,3850724.25401777,4113703.29817384
"P02884",1613966.68911193,444601.250726214,954659.815009686,1217589.3940911,1235070.63690205,400819.868559382,529989.739508476,813898.177730251,1261376.2269928,1003591.79069283,280153.281747735,765570.185109126,3077009.35306644,3091916.03863507,930446.757823744
"P02885",222614.889599655,47352.1790062772,122209.182551818,141259.507918498,153923.946744825,89878.4536860559,67649.8950471001,88026.9005908502,174615.861546136,119847.890630993,47256.7489884379,110348.962166578,230282.258073201,461435.145564117,126118.359808501
"P02886",1330666.40076594,518270.524097128,1185133.81787703,1134064.13299102,636429.662700343,680515.687297066,364154.845923232,647106.492381118,1151718.97813396,787174.165605415,237989.362233041,1070382.74598818,2188302.72044762,1976341.40776486,1182758.89390179
"P02887",5442357.79427069,1526354.12914366,2791129.02288051,3636668.47086698,3396643.6443792,2181257.20642739,989406.447547121,1707458.84586587,4575898.3224105,2762413.38217297,1041394.36712825,3896768.81887337,4895763.49032738,4982619.97673713,3462854.70391216
"P02888",388891.512321037,110270.92690506,211886.361988128,315282.486525472,238733.147697849,164774.016079357,128827.107748863,161786.675488747,243879.841218918,225760.703584428,71369.8419467509,236075.719648756,472674.478344894,469903.721380724,309179.852693741
"P02889",613613.638429412,156676.735644938,348872.735800789,355724.9984206,382836.641841615,193117.832635684,115126.350139495,217452.018584731,275032.409279544,301133.480541984,86900.545759983,325233.639900734,678922.825954446,645865.478114065,307919.65874638
"P02890",282407.913794147,75400.6037301929,195859.561680146,173119.770673077,242786.640584943,55173.1633852807,162737.67343254,154554.578015684,205078.863612045,217896.259808475,54230.4683596848,127150.628865171,520775.618887282,1281763.24451247,125206.346876515
"P02891",88136.0034667629,33502.6221965366,76677.6578646879,91526.8287032911,77286.3665638602,28109.8420766418,31333.8282406023,37111.8205686031,79768.7449951235,64403.6481862265,19834.6464746296,66047.9964875099,159303.681589014,209682.461483939,66026.368097266
"P02892",439792.257763295,82461.837867276,217212.141074496,309576.328184781,249389.428408466,81650.7755536101,245738.147421541,218490.141469852,291934.428665768,320381.639639604,54038.1926100911,190602.665300522,592026.159805445,1127873.87007099,171199.374226175
"P02893",557665.762344258,209323.115087513,396937.559244625,404430.209604679,510387.463332639,165792.193968837,162673.425181057,245529.296280378,363966.253909099,405976.754425054,104781.501929987,287138.132458847,721441.00555325,1400716.72483143,333019.123320691
"P02894",341157.544952072,117406.882088488,217371.512521326,273601.018083777,237191.238596062,110210.676331867,128605.221248799,218141.447160841,232813.339717178,209722.215729815,70073.845933672,243065.760689821,593786.485802188,1126268.13229205,222451.50000148
"P02895",502366.216794926,169482.642064641,449517.371956214,422519.32409932,399917.561184891,246221.650734199,125912.684025082,202959.376191041,373536.762976087,448430.349898866,103983.136855467,320476.536349676,740630.293473224,786964.404527512,367638.483120551
"P02896",3288477.74309583,979564.383050738,2212557.28043756,2780015.65116405,2057993.42189533,1460020.79767425,930925.270906444,1250324.12212044,2285989.87483134,1924385.27274029,799704.4036622,2207972.45662696,5122429.4065896,5735055.633589,2498484.78325376
"P02897",97135.0928490682,18894.2419398171,56691.790187382,61992.842569549,56738.295549599,18163.8486523769,52802.3775811652,54654.5588884617,44983.4950785387,54110.6048891126,18171.3650488492,36337.3710278088,158180.33610172,390687.325460526,39462.604654725
"P02898",93771.6402774872,17886.6358964589,64515.2713778247,45359.3530743872,67686.8531379722,11457.8965394218,47515.153653353,52040.7267252401,48309.3652599715,60543.3613944455,14102.3435816133,39382.7468573954,145586.80492247,451556.110135597,32748.3030342721
"P02899",1098737.52205656,347595.085368875,921333.409308697,823224.803578894,952050.378542461,365821.73900979,390327.059464239,700235.019847071,783899.691290322,912569.763597706,217727.157912559,655741.991568358,1676689.36680864,3632084.66218228,663144.299360085
"P02900",53535965.5856273,21980421.48232,57083858.2404709,62515822.1179325,49933222.5138034,52574960.3842989,14104348.5228637,23360034.3024593,71508272.2141352,52412935.5635075,14812867.0559115,59888656.2101796,68849168.9845451,49880621.8458848,63028428.0530729
"P02901",705042.750251524,208362.17923381,419326.36198799,585293.362526383,532664.220125424,259854.460711413,165633.269129293,333717.890472259,544865.784254147,396830.322902621,131183.812661269,411619.209427345,836778.712189503,688894.068108065,472707.807544265
"P02902",2241144.82262391,731284.66129921,1448794.23688339,2131251.33843124,1388679.29348877,1120920.93079256,463273.91784518,838553.153526535,1871592.60859096,1558965.03571558,389506.128763065,1350556.30682409,2507324.29103924,2368058.1490574,1726438.5405726
"P02903",2333753.22585205,1235743.93215796,1421182.56144244,2494725.97273453,2058815.4215625,1650143.24134132,474534.772936512,866949.052040097,2188779.53598059,1669665.87063385,701423.722897707,2005057.20529759,2848034.46864056,2274250.15793121,2419859.37736536
"P02904",67621.9728280119,23472.228941128,52974.1712101018,65235.9624768225,49970.3912854891,18050.6004642881,41863.5414208502,52197.6859295895,52288.68030786,76359.7470353649,16448.0092433608,41473.9052351811,123127.934078645,375852.870270774,36315.6733346292
"P02905",990569.600460198,233316.312954307,720287.46775895,740553.164002622,598695.197036928,256319.235520429,268001.19099884,491524.608573651,648408.837062722,614027.763196422,167017.402226429,518742.541576301,1248058.93715709,1601588.32886936,572913.551837899
"P02906",93761.3286662184,208886.446523245,433673.982344921,82575.6733564225,461471.556170694,312987.881332453,22507.9877290729,288536.691376646,518189.727298666,64970.9585965769,149284.698719573,550091.713815187,105375.649337453,760854.825795172,495385.58460516
"P02907",1599431.46587979,504904.214375767,927880.205068913,1469273.88254769,1243207.20744399,728168.492031047,609563.077060014,729708.603301864,1241278.28787199,1671240.27010514,300999.432377206,1156597.73243977,2358765.8598284,2986097.35406339,1023378.4947246
"P02908",298512.165057856,95895.917867087,184381.180060611,239508.747025208,268326.623049887,124257.523137267,110932.797978685,153831.579300575,219395.392860078,203210.642826068,71273.0118830161,226184.072797831,368595.735226667,495143.612104618,205977.570547151
"P02909",2665470.89125482,840827.654026842,1590129.37416001,2424360.10397354,1801803.83304006,1095639.14176541,501141.964774956,1168261.05904429,1988453.4000387,1500617.61533909,505930.083577817,1342033.37694895,2509419.4415131,2617571.33421438,1788718.83607154
"P02910",232751.305115994,43860.1732430761,110554.01823036,127685.16446259,129907.89657359,41646.2579116041,116845.814616765,85684.1710864367,146247.26351914,112263.83868006,33116.2406936022,83055.6166048745,388681.097741051,707978.423466067,100966.17173624
"P02911",1875123.42153084,406586.936804115,1160400.35981764,1240722.81926013,960270.44836691,652632.443670327,427149.016193491,480683.676297687,1402165.73108657,1348645.78842059,276852.397231681,1091584.90652836,2206723.00385182,2217286.4843739,1302660.62904132
"P02912",1469803.9316907,417062.081343343,1020630.29855366,1161068.04091409,1048052.88645688,413450.989862861,559555.908143179,859436.764949821,1027764.43651909,993768.770535445,324863.444180126,850762.826069366,2361848.1304203,3437957.4753224,698856.909055897
"P02913",448391.507089073,142630.851443524,231278.86865184,264497.557290806,299848.729669085,176808.35602316,102237.430964679,152320.752494057,322796.930804483,254111.602890836,61025.1753163429,277159.984355719,433691.946060475,415490.695923143,245214.614949301
"P02914",4752331.91483564,1631176.221371,2610897.69723511,2750692.2953031,3105321.94273855,1338863.85877497,1134169.11131062,1648162.52986069,3515005.61138043,2797831.94812071,869809.28318717,2614205.69513687,5238009.39969676,4810350.98369013,3784404.27314378
"P02915",4192676.57834829,1218032.46391295,2133910.23460964,3273509.87313895,2590388.40102169,1718698.39262995,533185.559760036,1549608.20448662,3035771.50155791,2547743.06694286,554424.353239486,2675827.90639008,2837380.63661449,2779056.66234877,3480801.73403047
"P02916",152508.569675451,40259.8611752503,81797.5219654967,85057.6278568957,115182.586865768,37161.8181654271,49933.9386621059,86446.7654662687,95285.0966166468,83664.8988481303,28074.831462444,84663.7665671934,172812.753780536,351836.436567739,84637.1420291902
"P02917",930699.019527977,262955.340281809,597496.245262087,738701.876065788,485490.492847076,268094.721462426,266437.284082886,464239.895411102,722679.034741003,675614.89200193,177433.211574897,650417.428838512,1233964.65629044,1749245.49638066,599242.072438291
"P02918",124113.706245544,22866.9432766104,76571.6797097512,79816.4054923065,62291.9671509568,25162.9860869838,53620.4491242621,66685.8464530748,80989.8575009558,96332.1343965522,19384.7389129881,66820.5878260288,186370.701405827,492350.104562606,56341.7228435807
"P02919",1077602.32832731,423176.446477705,785041.572304636,930464.534349285,994733.183862251,421693.141870391,374499.885735185,610348.074827431,840518.526767786,706700.277726607,183542.946432204,869523.660595087,1313537.02839119,2091770.20370791,851226.381943432
"P02920",1097451.69797953,438486.718563214,660846.602871242,792135.856926852,733208.93289239,306806.799560713,402335.299895855,596290.191962799,902081.297754186,716165.372251255,163762.520843457,648423.577412237,1678663.89904786,2600588.62510016,601739.291402856
"P02921",249364.512447372,54761.2503308542,143814.853164169,136831.825311491,174729.965480367,67657.5628531196,70334.9641718436,117552.156777225,107476.705833654,143866.186678328,41740.8311168741,97327.9540088774,290591.866056488,584744.051651169,125202.724863587
"P02922",459023.903153164,148383.571978732,290132.09032201,393522.277819418,319608.87452526,284681.838038275,111223.419773237,154286.264483564,319839.265082055,304687.20018246,105628.239063787,312938.069707067,546203.816858489,424209.686218986,303443.66576206
"P02923",366669.68032904,124553.200906168,180614.124181799,262259.141244713,249382.724831199,150370.453223522,106357.791397993,138573.630394092,338852.861590228,248181.478213573,61005.5465994666,310475.241854424,446280.170860402,633464.985347516,277760.151549853
"P02924",534286.370791725,148157.804975521,327330.85576691,320985.098571537,357295.41837112,155422.458566666,196063.604978458,212802.876263211,369124.698584095,358727.338948852,79731.7758654241,270364.092226768,638359.666909821,1112380.94371029,287291.756779882
"P02925",1350407.77729794,413877.473150905,785715.056188698,1133154.28490444,990510.282134445,374054.384794651,312495.249689004,588010.075224435,1150836.62877561,778439.776703061,321793.182227828,1047949.20546979,1958401.22816452,1693212.4669482,838495.006687341
"P02926",303410.691093745,98005.1714460596,210048.100993604,316433.804967459,236290.410463078,176960.858454952,77453.4298880394,106661.355529526,343715.260861093,233655.719447591,42636.2359979501,223590.225899313,411836.223528988,375842.619182404,260348.904292321
"P02927",995682.614040164,256329.259900372,872132.120224383,547125.823682676,539316.235414729,283534.962534047,496480.270534634,449274.036935197,599541.382035433,691166.369841861,122646.041935233,461276.820916639,1701203.81608165,1911396.64546199,499102.055039984
"P02928",587440.837404923,572395.63292871,1361024.66534257,595088.572624171,1539799.02534529,1053068.77709411,135517.097595407,1026173.61544809,1997517.6328617,368015.920500588,656516.066361618,1726342.57493508,654911.306579975,2409329.92168888,2125957.5194852
"P02929",1508372.39707779,526775.421632345,858690.439867464,1055370.501028,988516.430737548,649479.008163761,306530.492218502,511536.209156575,1407742.59252417,1013105.42682395,234355.875844673,955830.965671715,1502148.66250882,1835758.57743986,1020805.59236094
"P02930",183901.143235536,71989.1990713996,112438.706375929,134679.934733417,143132.494740332,61309.9201977168,56225.6290379432,72946.4300314003,125650.551835335,134269.076352095,31692.2305699403,124166.296312125,157716.687618732,302496.813529887,113017.369688942
"P02931",2513529.73416847,1045065.92930216,1290042.70537068,2691582.05295533,1603323.27642342,1626415.00468978,381600.080954616,705871.601078276,2379955.5017628,1086177.12743013,640054.597864659,2024250.46052761,2131045.11327835,1273314.38630768,2379186.84470715
"P02932",233220.273638283,47331.6456528274,141477.807685468,218674.634532142,187025.691334817,57077.6768456098,112585.839504992,132366.648466168,152233.355823237,175880.262549463,38577.9105739042,152967.857087039,325216.671926081,561262.119812865,131747.658014764
"P02933",477422.998844845,168133.552673839,360776.812549093,407881.687107789,340992.594895253,190102.514856538,158898.695527003,156166.084800945,359959.09047342,282082.030016244,94470.0138867432,319448.308013791,813142.632859984,933154.671567187,360414.508983791
"P02934",300328.144726639,232035.868922975,390278.996668178,304534.774646264,487064.999440288,282710.918642233,66047.0336529109,303377.608896987,581467.3697327,219871.092750765,145998.596070732,566182.29298,386787.07195432,643188.138034446,518172.051578373
"P02935",261874.875611065,53835.7855131791,160490.730298949,167248.575094052,122966.626718133,55038.1289020708,93153.3253309186,110387.513383076,119075.284883407,161254.87853703,44459.6331416832,110885.939345636,345320.842964076,373278.345712424,105540.642859181
"P02936",487939.95280794,206635.712668819,327825.750664198,310296.661274674,469016.24170752,152510.061062242,223560.728816206,234231.981886823,413108.514612716,358221.908013779,96309.9589608531,250964.445349465,894788.27853377,1378890.22623636,312548.02846877
"P02937",440845.448973767,144387.842357975,310422.858845267,359348.37993248,280604.506123443,117877.910939334,188418.764404331,254903.970438688,337737.265661289,347140.445892047,98563.3686817888,255328.245692773,877922.802687067,1087311.9359518,199366.137476641
"P02938",7460638.62126171,3184237.25761948,6114125.06252615,7198851.80285671,5922546.60136944,3662787.55652258,1462363.39588928,2263022.30764959,7766241.73408774,4687808.66743599,1754194.3586738,5182374.64464421,6988840.76521685,5656758.66984219,5678208.12916594
"P02939",743027.411293989,256670.840581392,414607.248228968,767356.980773881,512513.526262878,330478.65215433,145847.741339888,280705.813621413,542652.188340476,519420.635673694,134624.687128451,461848.923931574,1005252.80790384,633147.308788029,736841.048066571
"P02940",768170.459341186,221915.196017918,521974.908941594,603223.010164912,504659.12444694,252340.256565437,184630.066875389,311721.826221231,568076.700856403,548840.620556494,190370.539570071,600170.954150904,921903.863100843,853275.134821458,566740.503057103
"P02941",1611706.56695088,326448.277202103,896453.777095327,905587.527401907,833149.623447044,502310.611405411,468902.049430241,616354.395522059,1152288.46765008,797379.699564314,234493.724155413,668696.930900302,1681292.9191038,3041140.96077657,812278.316916665
"P02942",114038.258824554,33975.7632363461,75381.5961252795,73934.4294982982,92681.7605119345,18407.4404214679,78120.6782804248,88474.9575143921,106263.567959832,79639.274791275,22401.9882272636,40650.3959556069,233358.914937065,602576.802050996,68561.4751083577
"P02943",962055.992790434,243862.860128366,446066.633379426,474563.921995788,558685.93603134,205444.169057366,351548.722319253,368430.61166174,530488.099650775,614996.1263021,149656.588251046,531488.952347134,1200296.79792084,1819450.1564102,628600.04282056
"P02944",659631.605874988,209838.87260438,561852.462857692,546559.962593095,491045.333131313,282328.082524166,245275.36706917,313732.799363371,544068.391505167,400416.177739747,139560.035568986,504000.30065003,886708.258260996,1207613.6764157,391359.290768059
"P02945",1123636.58228367,393839.077839216,476005.131063626,941160.454592634,561088.606835445,458003.118314608,215817.594995389,348751.725130532,696371.480288333,732473.590537005,172670.512139512,747940.649407416,1148484.31145695,1039763.08889,651808.557387724
"P02946",261753.167778826,64115.8242230333,178778.789053436,200678.137512486,189163.229123029,58544.9713537172,89757.3619521952,125929.605115146,148241.176723142,145445.054595644,38132.9753359515,130814.516881759,412657.22465157,581043.334458246,129717.19694942
"P02947",168590.002472506,39638.3796561188,139426.022886082,94674.5161082152,84919.752907868,40145.2595501406,47328.7029531676,82230.5044446793,117826.456659714,134877.631588838,28924.4671473007,85360.5574536365,286896.00381841,375484.07291422,93324.7629441436
"P02948",244790.585263211,47827.9917844856,149156.628406093,111483.334776787,116309.742431853,43573.0564886687,90808.3741499556,96410.7621401848,173255.994299014,160565.442370903,35634.9612779038,109237.558854646,266718.525329365,549424.738207718,117231.804029288
"P02949",249684.113937614,430437.922403617,751869.916399448,192455.823162564,1122535.94319061,444084.483780995,65147.8372506609,657834.867676683,914471.059551202,155429.671525988,314921.001384553,1067734.85321183,369342.209543072,2048596.33005017,829877.723006413
"P02950",494655.037995263,125833.916373082,227386.205218584,198263.072061448,269728.756404497,85784.5495744062,163263.329858597,200729.370176553,328470.405732774,369076.605966885,63898.5404830336,228905.403101613,637894.364630875,1472062.82884078,237008.145868722
"P02951",2470690.4905926,1037842.49035068,1662691.70047815,2778313.61705982,1694853.2306994,1224206.77990819,436208.951698633,1133437.79002668,1881074.37253393,1574305.43116977,466399.444049591,1695421.92756616,3689353.05207714,2605843.22936363,2554298.4574293
"P02952",197105.090289386,65374.0908054293,105686.681110657,135401.088822807,156382.073835058,52365.034074293,67542.855128621,97107.6452562979,143269.87378356,149247.037409493,32261.9042682695,124110.871416797,266095.973011832,549421.170521656,97920.3129723438
"P02953",1954160.70569035,392734.308970116,728113.605486436,912135.349176399,996683.234467866,433337.859205564,567111.029767024,751245.189853217,981584.475571001,1209231.04522915,205688.292628459,632976.743115126,1834599.70504245,4262921.19681974,795464.758839189
"P02954",440585.693481016,110937.440188389,213147.965341381,360883.490200145,253325.628923427,122980.663294971,123713.681239994,198729.917362978,301863.155625195,228576.930958632,115813.266878217,309453.491290556,732416.268274389,528534.73880988,305936.62191916
"P02955",88564.9921141891,26518.9225167502,47044.2311607115,63179.3275706139,54490.3393092257,27350.824039372,50968.8280494839,53151.287808549,58129.1277712363,78500.3722718596,20067.4714934715,44335.4591244478,178404.366455611,248139.541071191,56230.9218078715
"P02956",1349863.97121057,455895.513920006,985180.005271108,1211383.63839693,976153.479419763,709433.997703481,252171.931201107,387834.241998249,1112281.96031684,828537.003266909,226104.967268995,996331.347188873,1498399.78672127,809182.098448953,878685.114667697
"P02957",320603.553660182,91982.37818022,193704.517982501,178099.383845056,199203.279662505,79293.917727475,135064.037850978,144800.171049318,231636.826500165,227644.080936422,45504.7200135637,141195.030440482,574089.726758823,582344.401227228,149871.296922971
"P02958",972085.293946815,394169.433584808,679101.905337955,874302.184537101,849808.520816947,418692.264479986,329763.192500485,481175.900356269,1149856.09980381,932781.209744658,221052.787155941,744620.050291292,1508221.63361256,1975555.53850468,827792.653200088
"P02959",671597.393259583,157515.996623327,388015.181897741,490522.266323454,356366.159712722,197319.329816155,212785.233887513,294585.560994267,548504.57497753,444578.89905442,120842.20234911,349689.480046042,902438.603590878,1050011.01844952,401404.911268532
"P02960",186588.231893225,52080.4731610214,172038.859152367,130695.319473771,100379.136124213,63491.2726400179,86377.1693284333,76450.5046843253,122268.197615162,134659.957278848,39678.7147246813,111204.587913183,283996.913544807,518410.692963243,99233.3282195378
"P02961",175995.870382179,34025.524545631,102127.069595566,101674.561749368,102101.416101888,23858.232269432,94644.2503741669,100728.974031214,93991.4662478132,100527.549646793,24454.7827902196,61296.5894693049,287838.6885841,604038.89446549,55313.520110274
"P02962",132410.199867217,45942.4634476182,68586.0458673055,83591.280362658,72351.2785471514,40611.5560587088,38487.6444928683,53897.4752231628,96849.1625476819,68504.7671284629,22253.474348989,74870.4839655089,177458.315789095,226170.908300848,83955.4590392158
"P02963",257203.396955157,92095.9691918866,195404.664516304,194136.153220414,208666.180254084,90080.0967953192,95068.1715859587,96018.5412778091,185677.830272254,252877.740473619,56799.677220305,173010.380318002,383944.688557739,597396.284978038,196831.495022871
"P02964",557045.553899519,201274.490824096,342951.835544741,406912.317476164,261490.210822648,287874.919522977,140290.873227422,241564.695710455,375397.453385154,323538.802704596,78286.009495734,318848.395672356,695804.726292051,751405.303798734,433681.499767112
"P02965",20334.985449597,5663.48800014067,14292.8218082365,12904.336625894,18946.2849501312,4467.87636547697,14849.5415939575,16217.4717033022,15529.1271843518,13938.5125169924,4523.78327192575,12091.2132137583,27285.0506015459,78848.5239392399,12063.2222155001
"P02966",2630940.38113482,1105227.56345259,1733120.06113854,2334207.7752633,1675873.68907561,1292333.57873839,558350.730991197,798699.134203846,1941654.7730419,1702620.89542734,596065.036964296,2301883.40920448,2665372.01273531,3059484.10153848,1459508.49082629
"P02967",395879.717749726,93982.5633678198,203947.080992966,209376.519441234,214283.2917548,91328.2472515622,104761.390748474,190162.967054247,201133.507443123,260180.160994689,46998.8115565024,188255.123853827,576518.840601948,1117360.34792146,259584.242102943
"P02968",1106709.33211988,232952.951794564,577153.112185595,1048818.59318293,780940.981415785,349438.519171577,291302.99529747,456559.681264949,746890.176029447,685848.726982272,210252.673465604,638618.51735995,1421355.63808111,1638236.83020683,770929.120510189
"P02969",1139323.12257406,390321.838067669,563120.13248685,969925.729539492,986640.083796407,519115.873005837,234422.134765306,478836.558894543,789555.263472037,739729.103842795,253437.077142843,766566.121758307,1504987.89680929,1139244.36994484,740250.844022615
"P02970",1848361.2823227,142836.563725873,265856.432036056,1534144.19294256,332214.489170195,130147.727982952,771077.942513299,238329.005374449,252060.823687871,1428111.32924196,86442.3689469503,220478.034283278,3610567.57858551,1541158.45861632,233324.922889547
"P02971",2068324.4878958,484332.7897236,1236283.98503903,1325590.06802881,1493530.38659743,552561.296976258,939451.229599775,888979.693086328,1497610.40787981,1161809.35172688,497053.801787375,882022.070009205,2843734.24274306,4824341.53464554,1061203.47166211
"P02972",465177.182079369,134089.70345393,335475.911017378,406242.53764956,332225.850225295,168522.954475639,106169.425091875,174315.608322151,346097.987946626,309291.327742157,81196.7535700912,303865.441210621,454934.421845886,497707.950561036,315284.453101019
"P02973",154856.70094953,48197.4086235567,131717.783264564,116804.03451215,79280.2610910042,50334.9259674862,61795.4462058948,85616.9573852076,133477.234237884,135987.798746569,38252.3496518121,99879.3293146689,252541.35119398,355771.896440351,98624.0180124575
"P02974",234112.843659156,52757.5792976918,150022.747526884,135564.606273712,124451.199205616,43587.9193176501,97278.0744325362,89794.6089129752,136812.727937899,143846.964222963,32947.527361601,110369.847282216,335198.748728287,652766.54902005,105128.893502283
